id,question,selection1,selection2,selection3,selection4,answer,commentary
1,じゃんけんでグーに勝つ手はどれでしょうか？,グー,チョキ,パー,ペー,3,じゃんけんは「グー」「チョキ」「パー」の3種類の手をお互いに選んで同時に出すことで勝ち負けを決めるゲームです。強弱はグー＞チョキ＞パー＞グーのように決まっており、グーに勝つことができるのはパーのみです。
2,炊飯器の保温機能の限度時間,12時間,24時間,36時間,48時間,2,高性能なIH機器であれば24時間、それ以外だと12時間が限度
3,サッカーボールを作ったことのある高級ブランド,ルイヴィトン,エルメス,プラダ,ロレックス,1,1998年のワールドカップ(フランス開催)の記念で3000個限定で作成された。
4,現在の映画興収ランキング第一位は?,アバター,タイタニック,千と千尋の神隠し,鬼滅の刃無限列車編,4,千と千尋の神隠しは鬼滅の刃無限列車編が公開されるまでは一位だった。
5,日本の初代内閣総理大臣は誰でしょう？,伊藤博文,安部晋三,田中角栄,鳩山由紀夫,1,伊藤博文しかおらんやろ、教科書見てこい。
6,ポケモンの生まれた日,2月27日,5月27日,12月18日,9月13日,1,一番最初のポケモンのゲームソフト「ポケットモンスタ―赤・緑」が1996年2月27日に発売され、この世にポケモンが誕生した。2，3，4の選択肢はそれぞれ、ドラゴンクエスト、ファイナルファンタジー、マリオシリーズの初代作が発売された日である。
7,映画「オーシャンズ11」の主演は誰でしょう?,マッド・デイモン,ブラッド・ピット,アンディ・ガルシア,ジョージ・クルーニー,4,2001年に公開された映画「オーシャンズ11」ではジョージ・クルーニーが主演を務め、続編として製作された「オーシャンズ12」、「オーシャンズ13」でも主演を務めた。
8,レオナルド・ダヴィンチにより描かれた絵画、「最後の晩餐」において、イエスの左に座る人物は次のうちどれか？,ユダ,ヨハネ,ペテロ,シモン,2,
9,ジンバブエ初代大統領は誰か,バナナ,アップル,グレープ,メロン,1,1980年4月18日から1987年12月31日まで大統領だった
10,実際に北海道に存在する川の名前,イトオシイ川,クルオシイ川,ヤリキレナイ川,チョウシデナイ川,3,アイヌ語で魚の住まない川という意味
11,日本1長い河川の名前,利根川,信濃川,芦田川,北上川,2,一番長いのは信濃川、一番面積が広いのが利根川
12,オゾン層の破壊の要因となっている原子は次のうちどれか？,二酸化炭素,窒素,酸素,塩素,4,塩素原子はオゾンと反応する力が強く、オゾンと次々に反応を起こして、オゾン層を破壊してしまうため
13,大谷翔平選手の背番号は？,15,16,17,18,3,"MLB アメリカン・リーグのロサンゼルス・エンゼルスに所属している大谷翔平選手の背番号は「17」である。"
14,日本最強の鬼はどれか？,酒呑童子,茨木童子,天邪鬼,鬼舞辻無惨,1,平安時代に京都で大暴れしたと伝えられている鬼。6mもある巨体に角は5本ありさらに目が15個あると言われている。
15,シュークリームの「シュー」の意味は？,キャベツ,わた,白い,曇,1,「シュー」はフランス語でキャベツを意味し、焼き立てのシュークリームがキャベツに似ていたことから名づけられた。
16,「E.T」、「未知との遭遇」等の映画を作成した監督は次のうちだれでしょう？,黒澤明,宮崎駿,スティーヴン・スピルバーグ,ジョージ・ルーカス,3,スピルバーグ監督はほかにも「シンドラーのリスト」や「ジョーズ」などの名作を作成している。
18,次の新紙幣一万円札の人物は誰でしょう？,与謝野晶子,渋沢栄一,津田梅子,野口英世,2,実業家の渋沢栄一がなることになりました。
19,ポムポムプリンの趣味は？,お昼寝,読書,靴集め,お散歩,3,ポムポムプリンの趣味は靴集め。飼い主のお父さんの革靴とお母さんのサンダルを片方筒こっそりと隠している。
20,ハラミはどこの部位でしょう？,あばら,横隔膜,舌,肝臓,2,ハラミは牛の横隔膜の肉である。
21,次のうち、ディズニー作品で「ピクサー・アニメーション・スタジオ」が制作を行っていない作品はどれか,アナと雪の女王,トイ・ストーリー,ファインディング・ニモ,カーズ,1,「アナと雪の女王」は「ウォルト・ディズニー・アニメーション・スタジオ」制作の作品である
22,カープの現在の監督は次のうちだれか,野村謙二郎,新井貴浩,佐々岡真司,緒方孝市,2,2023年シーズンより広島東洋カープの第20代監督を務めている
23,100から1を引くと何色？,赤,黒,白,黄,3,百から一を引くので答えは白
24,HCIOの物質名は？,過酸化水素水,次亜塩素酸,塩化水素,水酸化ナトリウム,2,答えは2
25,日本で2番目に面積が大きい県は？,青森県,岩手県,福島県,長野県,2,岩手で～す笑
26,音が聞こえるのはどういう仕組みでしょう？,空気がなくなっている,空気が振動している,空気が膨張している,空気が圧縮されている,2,空気が振動しているから
27,ドラゴンボールGTで悟空とベジータがフュージョンした時の戦士の名前は何でしょうか？,ベジット,アルティメットゴジータ,ゴジータ4,ゴジット4,3,GTで悟空とベジータが超サイヤ人4でフュージョンしてゴジータ4になっています。
28,モールス無線通信において「こちらは非常に強い空電に妨げられています。」のQ符号をモールス符号に表すのはどれ？,"－－・－ ・・・ ・－ ・・・・","－－・－ ・－・ －・ ・・・・","－－・－ ・・・ －・－ ・－－－－","－－・－ ・－・ －－－ ・－－－－",2,答えは2
29,世界遺産であるパリのエッフェル塔はとある理由で高さが変わりますが、その季節はいつ？,春,夏,秋,冬,2,夏は気温が高いため、鉄製のエッフェル塔は熱膨張により、最大15cmほど高さが変化する。
30,興福寺にある仏像の中で有名な仏像は何でしょう？,阿修羅像,金剛力士像,迦羅像,緊那羅像,1,仏教を保護する8人の守護神「八部衆」のうちの一人の阿修羅像です。
31,太陽系の惑星で太陽から最も遠くにあるのは？,水星,土星,木星,海王星,4,水星、金星、地球、火星、木星、土星、天王星、海王星の順番で太陽から近い。
